qseqid	LEXA_DEIRA	LEXA_PETMO	LEXA_THENN	RECA_ACIAD	RECA_ACIFI	RECA_ALIFM	RECA_ALKEH	RECA_AQUPY	RECA_BACFR	RECA_BACLI	RECA_BDEBA	RECA_BIFBR	RECA_BIFLO	RECA_BLAVI	RECA_BORPE	RECA_CAMJE	RECA_CAMLA	RECA_CLOB8	RECA_CLOPE	RECA_COREF	RECA_DEIGD	RECA_DESPS	RECA_ENTAG	RECA_FUSNN	RECA_GLUOX	RECA_HALH5	RECA_HERAR	RECA_HYDCU	RECA_IDILO	RECA_LACAC	RECA_LACLC	RECA_LACPE	RECA_LATSS	RECA_LEIXX	RECA_LEPME	RECA_LEVBA	RECA_LIMPL	RECA_LIMRD	RECA_LIMRJ	RECA_LISIN	RECA_LISIV	RECA_LISSE	RECA_LISWE	RECA_MANHA	RECA_METFL	RECA_METME	RECA_NEIGO	RECA_NEIMB	RECA_NEIMU	RECA_PARDE	RECA_PARMW	RECA_PECAS	RECA_PETMO	RECA_PHOPR	RECA_PROMI	RECA_PSECP	RECA_PSEFL	RECA_PSEPU	RECA_PSETO	RECA_RHIET	RECA_RHILV	RECA_RHOCA	RECA_RHOPA	RECA_RICPR	RECA_SERMA	RECA_SHISO	RECA_SODGL	RECA_SODGM	RECA_STAAB	RECA_STAAC	RECA_STAAR	RECA_STAAS	RECA_STAAU	RECA_STAAW	RECA_STAES	RECA_STRAG	RECA_STRAM	RECA_STRLI	RECA_STRMK	RECA_STRRM	RECA_STRVP	RECA_STUST	RECA_THEAQ	RECA_THEM4	RECA_THENN	RECA_THEP1	RECA_THESQ	RECA_THET2	RECA_THET8	RECA_THETH	RECA_TRIV2	RECA_VIBAN	RECA_VIBPA	RECA_VIBVY	RECA_XANAC	RECA_XANCI	RECA_XANCP	RECA_XANOR	RECA_ZYMMO	RECX_DEIRA
LEXA_DEIRA	1.0	0.8937254901960784	0.9018300653594771	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
LEXA_PETMO	0.8937254901960784	1.0	0.7764705882352941	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9743790849673203	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
LEXA_THENN	0.9018300653594771	0.7764705882352941	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9733333333333334	1.0	1.0	1.0	1.0	1.0	0.9728104575163399	0.9728104575163399	0.9722875816993464	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9749019607843137	0.9749019607843137	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9749019607843137	1.0	1.0	1.0	1.0	1.0	0.9749019607843137	0.9749019607843137	1.0	1.0	0.9733333333333334	0.9733333333333334	1.0	1.0	1.0	0.9749019607843137	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
RECA_ACIAD	1.0	1.0	1.0	1.0	0.33071895424836606	0.32810457516339864	0.322875816993464	0.46797385620915033	0.44313725490196076	0.43137254901960786	0.4130718954248366	0.3921568627450981	0.3947712418300654	0.37777777777777777	0.3477124183006536	0.4013071895424837	0.41045751633986927	0.4	0.3921568627450981	0.403921568627451	0.4339869281045752	0.4091503267973856	0.338562091503268	0.4392156862745098	0.3764705882352941	0.4222222222222223	0.3673202614379085	0.32810457516339864	0.31895424836601305	0.4444444444444444	0.4745098039215686	0.43137254901960786	0.4575163398692811	0.3947712418300654	0.388235294117647	0.4300653594771242	0.42614379084967324	0.44313725490196076	0.44313725490196076	0.4300653594771242	0.42875816993464055	0.42875816993464055	0.4300653594771242	0.3411764705882353	0.3254901960784313	0.32810457516339864	0.36078431372549025	0.3620915032679739	0.44052287581699345	0.38431372549019605	0.4156862745098039	0.3320261437908497	0.48888888888888893	0.31633986928104574	0.32810457516339864	0.4091503267973856	0.30718954248366015	0.30065359477124187	0.3058823529411765	0.36339869281045756	0.36993464052287583	0.3738562091503268	0.3647058823529412	0.37254901960784315	0.3359477124183007	0.3359477124183007	0.3437908496732026	0.3437908496732026	0.38954248366013067	0.38954248366013067	0.38954248366013067	0.38954248366013067	0.38954248366013067	0.38954248366013067	0.39607843137254906	0.4457516339869281	0.3803921568627451	0.38169934640522873	0.338562091503268	0.3947712418300654	0.37254901960784315	0.3150326797385621	0.4457516339869281	0.4509803921568627	0.4549019607843138	0.45228758169934635	0.4575163398692811	0.4483660130718954	0.4483660130718954	0.44967320261437904	0.40261437908496733	0.3320261437908497	0.3202614379084967	0.3320261437908497	0.3359477124183007	0.3359477124183007	0.33986928104575165	0.33725490196078434	0.3856209150326797	1.0
RECA_ACIFI	1.0	1.0	1.0	0.33071895424836606	1.0	0.3790849673202614	0.29542483660130714	0.47320261437908495	0.4457516339869281	0.41699346405228754	0.39869281045751637	0.40261437908496733	0.40522875816993464	0.3620915032679739	0.3320261437908497	0.4065359477124183	0.40522875816993464	0.4	0.4091503267973856	0.4	0.4483660130718954	0.403921568627451	0.3712418300653595	0.465359477124183	0.34901960784313724	0.41437908496732023	0.33986928104575165	0.3111111111111111	0.34509803921568627	0.4418300653594771	0.4875816993464053	0.4326797385620915	0.44705882352941173	0.39346405228758174	0.39346405228758174	0.41699346405228754	0.43790849673202614	0.43529411764705883	0.43529411764705883	0.41437908496732023	0.41045751633986927	0.41045751633986927	0.4091503267973856	0.3620915032679739	0.31241830065359477	0.3254901960784313	0.3529411764705882	0.35163398692810455	0.4274509803921569	0.36078431372549025	0.43790849673202614	0.37516339869281046	0.522875816993464	0.3673202614379085	0.36339869281045756	0.41437908496732023	0.36601307189542487	0.36078431372549025	0.3620915032679739	0.35424836601307186	0.3529411764705882	0.3555555555555555	0.3581699346405228	0.38169934640522873	0.3686274509803922	0.3673202614379085	0.3712418300653595	0.3712418300653595	0.4130718954248366	0.4130718954248366	0.4130718954248366	0.4130718954248366	0.4130718954248366	0.4130718954248366	0.41960784313725485	0.4601307189542484	0.3790849673202614	0.38169934640522873	0.36078431372549025	0.38954248366013067	0.37516339869281046	0.35686274509803917	0.4339869281045752	0.4483660130718954	0.47058823529411764	0.46405228758169936	0.4666666666666667	0.4483660130718954	0.4483660130718954	0.4509803921568627	0.42875816993464055	0.3803921568627451	0.3620915032679739	0.3712418300653595	0.36339869281045756	0.36339869281045756	0.3620915032679739	0.36078431372549025	0.36078431372549025	1.0
RECA_ALIFM	1.0	1.0	1.0	0.32810457516339864	0.3790849673202614	1.0	0.3202614379084967	0.4954248366013072	0.4771241830065359	0.41699346405228754	0.41960784313725485	0.4222222222222223	0.4222222222222223	0.38692810457516336	0.35163398692810455	0.42614379084967324	0.43529411764705883	0.4117647058823529	0.39607843137254906	0.4326797385620915	0.45620915032679743	0.4366013071895425	0.23660130718954253	0.48235294117647054	0.38169934640522873	0.4013071895424837	0.3620915032679739	0.334640522875817	0.27189542483660134	0.46143790849673205	0.4771241830065359	0.4300653594771242	0.44705882352941173	0.4013071895424837	0.388235294117647	0.41960784313725485	0.4549019607843138	0.44313725490196076	0.44313725490196076	0.41699346405228754	0.41699346405228754	0.41699346405228754	0.4183006535947712	0.33071895424836606	0.33071895424836606	0.34248366013071896	0.36339869281045756	0.36078431372549025	0.44313725490196076	0.38169934640522873	0.45882352941176474	0.2313725490196078	0.5163398692810457	0.2104575163398693	0.2549019607843137	0.4222222222222223	0.30980392156862746	0.31895424836601305	0.3137254901960784	0.3764705882352941	0.37777777777777777	0.38169934640522873	0.38169934640522873	0.3790849673202614	0.2379084967320262	0.2522875816993464	0.23921568627450984	0.23921568627450984	0.403921568627451	0.403921568627451	0.403921568627451	0.403921568627451	0.403921568627451	0.403921568627451	0.4065359477124183	0.4601307189542484	0.3947712418300654	0.39869281045751637	0.3594771241830066	0.403921568627451	0.388235294117647	0.3150326797385621	0.45620915032679743	0.4784313725490196	0.47320261437908495	0.47581699346405226	0.4771241830065359	0.45882352941176474	0.45882352941176474	0.46143790849673205	0.45620915032679743	0.16993464052287577	0.16732026143790846	0.17124183006535942	0.3620915032679739	0.3620915032679739	0.3673202614379085	0.3647058823529412	0.3856209150326797	1.0
RECA_ALKEH	1.0	1.0	1.0	0.322875816993464	0.29542483660130714	0.3202614379084967	1.0	0.4627450980392157	0.4601307189542484	0.4130718954248366	0.35686274509803917	0.39607843137254906	0.39607843137254906	0.3464052287581699	0.326797385620915	0.43529411764705883	0.4483660130718954	0.3973856209150327	0.36993464052287583	0.38431372549019605	0.4875816993464053	0.4065359477124183	0.3137254901960784	0.4875816993464053	0.3477124183006536	0.4013071895424837	0.34509803921568627	0.261437908496732	0.30065359477124187	0.4509803921568627	0.4666666666666667	0.4065359477124183	0.4274509803921569	0.3581699346405228	0.36993464052287583	0.4091503267973856	0.42875816993464055	0.4156862745098039	0.4156862745098039	0.4209150326797385	0.41960784313725485	0.41960784313725485	0.4209150326797385	0.3764705882352941	0.326797385620915	0.338562091503268	0.3529411764705882	0.35163398692810455	0.42875816993464055	0.3647058823529412	0.41699346405228754	0.322875816993464	0.49150326797385624	0.3320261437908497	0.322875816993464	0.37516339869281046	0.3032679738562092	0.2993464052287582	0.30065359477124187	0.3503267973856209	0.35163398692810455	0.36078431372549025	0.3464052287581699	0.38431372549019605	0.33333333333333337	0.3294117647058824	0.3254901960784313	0.3254901960784313	0.39346405228758174	0.39346405228758174	0.39346405228758174	0.39346405228758174	0.39346405228758174	0.39346405228758174	0.4065359477124183	0.4549019607843138	0.33986928104575165	0.3477124183006536	0.31241830065359477	0.3555555555555555	0.34509803921568627	0.30718954248366015	0.4575163398692811	0.44705882352941173	0.45882352941176474	0.4601307189542484	0.4601307189542484	0.47320261437908495	0.47320261437908495	0.47581699346405226	0.42614379084967324	0.3254901960784313	0.3084967320261438	0.3254901960784313	0.34248366013071896	0.34248366013071896	0.3137254901960784	0.3150326797385621	0.33986928104575165	1.0
RECA_AQUPY	1.0	1.0	1.0	0.46797385620915033	0.47320261437908495	0.4954248366013072	0.4627450980392157	1.0	0.469281045751634	0.44052287581699345	0.4418300653594771	0.4392156862745098	0.44052287581699345	0.44313725490196076	0.469281045751634	0.4666666666666667	0.465359477124183	0.4483660130718954	0.44313725490196076	0.465359477124183	0.4784313725490196	0.4366013071895425	0.4862745098039216	0.4771241830065359	0.4326797385620915	0.4300653594771242	0.4771241830065359	0.4810457516339869	0.4836601307189542	0.4418300653594771	0.48888888888888893	0.4392156862745098	0.45882352941176474	0.46405228758169936	0.465359477124183	0.4339869281045752	0.4875816993464053	0.47058823529411764	0.47058823529411764	0.44052287581699345	0.43790849673202614	0.43790849673202614	0.4392156862745098	0.4745098039215686	0.46405228758169936	0.46405228758169936	0.4771241830065359	0.4771241830065359	0.5490196078431373	0.44052287581699345	0.5071895424836601	0.4875816993464053	0.5254901960784314	0.4954248366013072	0.469281045751634	0.4718954248366013	0.4954248366013072	0.4810457516339869	0.4954248366013072	0.4457516339869281	0.44705882352941173	0.45620915032679743	0.4392156862745098	0.4483660130718954	0.48496732026143796	0.48235294117647054	0.4875816993464053	0.4875816993464053	0.4392156862745098	0.4392156862745098	0.4392156862745098	0.4392156862745098	0.4392156862745098	0.4392156862745098	0.4418300653594771	0.48235294117647054	0.46143790849673205	0.46143790849673205	0.49673202614379086	0.465359477124183	0.4549019607843138	0.4875816993464053	0.43529411764705883	0.46405228758169936	0.4901960784313726	0.49673202614379086	0.48888888888888893	0.44967320261437904	0.4509803921568627	0.4535947712418301	0.48888888888888893	0.5006535947712418	0.49150326797385624	0.4954248366013072	0.4993464052287582	0.4993464052287582	0.5019607843137255	0.5032679738562091	0.43790849673202614	0.9728104575163399
RECA_BACFR	1.0	1.0	1.0	0.44313725490196076	0.4457516339869281	0.4771241830065359	0.4601307189542484	0.469281045751634	1.0	0.40261437908496733	0.4509803921568627	0.4091503267973856	0.4130718954248366	0.4483660130718954	0.4535947712418301	0.465359477124183	0.4718954248366013	0.4444444444444444	0.4392156862745098	0.4209150326797385	0.4993464052287582	0.44313725490196076	0.47320261437908495	0.526797385620915	0.4300653594771242	0.4091503267973856	0.4339869281045752	0.4274509803921569	0.44052287581699345	0.4666666666666667	0.465359477124183	0.4418300653594771	0.44967320261437904	0.42875816993464055	0.45620915032679743	0.4274509803921569	0.4483660130718954	0.4549019607843138	0.4549019607843138	0.4392156862745098	0.4366013071895425	0.4366013071895425	0.4366013071895425	0.4535947712418301	0.4627450980392157	0.45228758169934635	0.4326797385620915	0.4326797385620915	0.48235294117647054	0.4483660130718954	0.4601307189542484	0.465359477124183	0.5215686274509803	0.46143790849673205	0.4535947712418301	0.4130718954248366	0.45620915032679743	0.4575163398692811	0.4549019607843138	0.41960784313725485	0.41437908496732023	0.4392156862745098	0.44313725490196076	0.4627450980392157	0.4718954248366013	0.47058823529411764	0.4745098039215686	0.4745098039215686	0.41699346405228754	0.41699346405228754	0.41699346405228754	0.41699346405228754	0.41699346405228754	0.41699346405228754	0.4366013071895425	0.4444444444444444	0.4091503267973856	0.4117647058823529	0.44052287581699345	0.4156862745098039	0.4130718954248366	0.465359477124183	0.48235294117647054	0.4771241830065359	0.4745098039215686	0.4862745098039216	0.48235294117647054	0.49150326797385624	0.4901960784313726	0.4928104575163399	0.4836601307189542	0.47973856209150323	0.4745098039215686	0.4745098039215686	0.47058823529411764	0.47058823529411764	0.44052287581699345	0.4392156862745098	0.42614379084967324	1.0
RECA_BACLI	1.0	1.0	1.0	0.43137254901960786	0.41699346405228754	0.41699346405228754	0.4130718954248366	0.44052287581699345	0.40261437908496733	1.0	0.41960784313725485	0.38692810457516336	0.38431372549019605	0.4156862745098039	0.40261437908496733	0.42352941176470593	0.4248366013071896	0.37516339869281046	0.338562091503268	0.39869281045751637	0.45882352941176474	0.40522875816993464	0.4366013071895425	0.46797385620915033	0.39084967320261443	0.22352941176470587	0.4065359477124183	0.38431372549019605	0.4013071895424837	0.3111111111111111	0.4065359477124183	0.3019607843137255	0.3202614379084967	0.3973856209150327	0.41045751633986927	0.30980392156862746	0.4418300653594771	0.3294117647058824	0.3294117647058824	0.24575163398692812	0.24444444444444446	0.24444444444444446	0.24444444444444446	0.43790849673202614	0.39346405228758174	0.39607843137254906	0.40522875816993464	0.40522875816993464	0.46143790849673205	0.39869281045751637	0.4549019607843138	0.4300653594771242	0.4627450980392157	0.4339869281045752	0.4222222222222223	0.39869281045751637	0.43790849673202614	0.4326797385620915	0.4392156862745098	0.41045751633986927	0.4091503267973856	0.3947712418300654	0.39346405228758174	0.40784313725490196	0.42614379084967324	0.4366013071895425	0.44052287581699345	0.44052287581699345	0.31633986928104574	0.31633986928104574	0.31633986928104574	0.31633986928104574	0.31633986928104574	0.31633986928104574	0.31633986928104574	0.3790849673202614	0.3673202614379085	0.36993464052287583	0.42352941176470593	0.3803921568627451	0.37254901960784315	0.43790849673202614	0.4418300653594771	0.4575163398692811	0.43790849673202614	0.43529411764705883	0.44052287581699345	0.44313725490196076	0.4457516339869281	0.4483660130718954	0.42614379084967324	0.4248366013071896	0.42614379084967324	0.4156862745098039	0.4222222222222223	0.4222222222222223	0.42614379084967324	0.4274509803921569	0.39084967320261443	1.0
